Ask_Price_Level_1,Ask_Volume_Level_1,Bid_Price_Level_1,Bid_Volume_Level_1,Ask_Price_Level_2,Ask_Volume_Level_2,Bid_Price_Level_2,Bid_Volume_Level_2,Ask_Price_Level_3,Ask_Volume_Level_3,Bid_Price_Level_3,Bid_Volume_Level_3,Ask_Price_Level_4,Ask_Volume_Level_4,Bid_Price_Level_4,Bid_Volume_Level_4,Ask_Price_Level_5,Ask_Volume_Level_5,Bid_Price_Level_5,Bid_Volume_Level_5,Ask_Price_Level_6,Ask_Volume_Level_6,Bid_Price_Level_6,Bid_Volume_Level_6,Ask_Price_Level_7,Ask_Volume_Level_7,Bid_Price_Level_7,Bid_Volume_Level_7,Ask_Price_Level_8,Ask_Volume_Level_8,Bid_Price_Level_8,Bid_Volume_Level_8,Ask_Price_Level_9,Ask_Volume_Level_9,Bid_Price_Level_9,Bid_Volume_Level_9,Ask_Price_Level_10,Ask_Volume_Level_10,Bid_Price_Level_10,Bid_Volume_Level_10
396.39,1826,396.35,1160,396.4,571,396.34,1562,396.41,1010,396.32,1177,396.43,1245,396.31,1291,396.44,1510,396.3,786,396.45,1084,396.29,1397,396.46,1236,396.28,1382,396.47,7825,396.27,1126,396.48,6912,396.26,859,396.49,1716,396.24,1711
396.27,925,396.25,932,396.3,1225,396.24,1056,396.31,1136,396.22,1273,396.32,678,396.21,995,396.33,836,396.2,904,396.34,1162,396.19,1321,396.35,1241,396.18,1232,396.36,1209,396.17,907,396.37,1032,396.16,1184,396.39,1262,396.15,1502
396.02,2537,395.96,2105,396.04,1962,395.95,1187,396.05,782,395.93,1554,396.07,1443,395.92,888,396.09,1175,395.91,955,396.11,1847,395.9,1174,396.12,2351,395.89,900,396.13,1255,395.88,990,396.14,1292,395.87,1373,396.15,6323,395.86,1297
396.27,8356,396.2,1715,396.28,2742,396.19,1592,396.29,1608,396.18,1072,396.3,726,396.17,1877,396.31,1783,396.16,1652,396.32,3412,396.15,1623,396.33,1255,396.14,1134,396.35,6690,396.13,1437,396.36,16916,396.12,1232,396.37,1858,396.11,1057
396.37,1052,396.32,1594,396.38,1365,396.31,2752,396.39,1566,396.3,434,396.4,1467,396.29,1332,396.41,1119,396.28,1980,396.42,1729,396.27,1153,396.44,1834,396.25,1534,396.45,1311,396.24,1524,396.48,1487,396.22,1338,396.49,1798,396.21,778
396.45,1112,396.41,1840,396.46,1512,396.4,2257,396.47,1312,396.39,725,396.48,2273,396.38,423,396.49,1252,396.36,1052,396.5,2081,396.35,1520,396.51,1605,396.34,1343,396.52,1389,396.32,795,396.53,2758,396.31,525,396.54,1397,396.3,1476
396.67,782,396.6,2046,396.68,1182,396.59,1455,396.69,881,396.58,1438,396.7,1729,396.57,1036,396.71,2585,396.56,1019,396.72,728,396.55,1656,396.74,1043,396.54,1000,396.75,1274,396.53,2696,396.76,2993,396.51,997,396.77,574,396.5,2278
396.9,1450,396.88,923,396.94,1884,396.86,1357,396.95,862,396.84,1232,396.96,1092,396.83,825,396.97,1121,396.82,1046,396.98,1232,396.8,1057,396.99,901,396.79,899,397,18690,396.78,878,397.02,835,396.77,756,397.03,2931,396.75,1796
397.14,16898,397.1,1329,397.15,9126,397.09,1605,397.16,794,397.08,1111,397.17,8802,397.07,778,397.18,8752,397.06,1688,397.19,1240,397.04,1899,397.2,1181,397.03,1128,397.21,8484,397.02,727,397.22,1412,397.01,847,397.23,1365,397,1886
397.02,1274,396.96,1599,397.03,1198,396.95,895,397.04,1204,396.94,781,397.05,1787,396.92,1006,397.06,1965,396.91,1130,397.07,1183,396.9,749,397.08,1177,396.87,1446,397.09,670,396.86,886,397.1,1258,396.85,1577,397.11,2259,396.83,1269
